EUR,CHE,0
AFR,GNQ,0
AFR,RWA,6400
AFR,TCD,12000
EUR,UKR,22000
AFR,GHA,15000
AFR,AGO,12000
AMR,SLV,0
WPR,PNG,1100
AFR,NGA,210000
AMR,JAM,1600
AFR,BWA,4200
EUR,POL,0
AMR,ECU,2000
EMR,SOM,3100
AFR,CIV,23000
SEAR,NPL,4600
AFR,SLE,2600
AMR,BRA,15000
SEAR,THA,23000
AFR,BEN,2800
AMR,GTM,2500
AFR,NER,4000
EMR,SDN,5600
AFR,ETH,54000
AFR,BDI,5800
WPR,MYS,5900
AFR,COG,4600
EMR,IRN,8300
AFR,ZMB,31000
AMR,VEN,2900
