"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000006","PUBLISHED","2006","SEAR","BTN","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","AFR","BWA","12 000 [10 000-14 000]","12000","10000","14000",""
"HIV_0000000006","PUBLISHED","2006","AFR","CAF","14 000 [12 000-17 000]","14000","12000","17000",""
"HIV_0000000006","PUBLISHED","2006","AMR","CAN","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2006","AFR","CMR","37 000 [33 000-42 000]","37000","33000","42000",""
"HIV_0000000006","PUBLISHED","2006","AFR","COD","?","0","","",""
"HIV_0000000006","PUBLISHED","2006","AFR","COG"," 6 200 [5 400- 7 200]","6200","5400","7200",""
"HIV_0000000006","PUBLISHED","2006","AMR","COL"," 9 900 [6 200-15 000]","9900","6200","15000",""
"HIV_0000000006","PUBLISHED","2006","AFR","COM","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","DEU","<1000 [<1000-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2006","EMR","DJI"," 1 100 [<1000- 1 400]","1100","","1400",""
"HIV_0000000006","PUBLISHED","2006","EUR","DNK","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","AMR","DOM"," 3 900 [3 100- 4 700]","3900","3100","4700",""
"HIV_0000000006","PUBLISHED","2006","EUR","ESP"," 1 800 [1 600- 2 000]","1800","1600","2000",""
"HIV_0000000006","PUBLISHED","2006","EUR","EST","<500 [<500-<500]","","","",""
"HIV_0000000006","PUBLISHED","2006","AFR","ETH","110 000 [99 000-120 000]","110000","99000","120000",""
"HIV_0000000006","PUBLISHED","2006","EUR","FIN","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","GEO","<100 [<100-<200]","","","",""
"HIV_0000000006","PUBLISHED","2006","AFR","GHA","22 000 [18 000-25 000]","22000","18000","25000",""
"HIV_0000000006","PUBLISHED","2006","AFR","GIN"," 6 100 [4 300- 8 600]","6100","4300","8600",""
"HIV_0000000006","PUBLISHED","2006","AFR","GMB","<1000 [<500- 1 200]","","","1200",""
"HIV_0000000006","PUBLISHED","2006","AFR","GNB"," 1 000 [<1000- 1 300]","1000","","1300",""
"HIV_0000000006","PUBLISHED","2006","AMR","HND"," 4 600 [3 300- 6 500]","4600","3300","6500",""
"HIV_0000000006","PUBLISHED","2006","EUR","HRV","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","AMR","HTI","10 000 [8 400-12 000]","10000","8400","12000",""
"HIV_0000000006","PUBLISHED","2006","EUR","HUN","<200 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","ISL","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","ISR","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","ITA","<1000 [<1000-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2006","AMR","JAM"," 2 800 [2 100- 3 700]","2800","2100","3700",""
"HIV_0000000006","PUBLISHED","2006","WPR","KOR","<200 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2006","WPR","LAO","<500 [<100-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2006","EMR","LBN","<200 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2006","AFR","LBR"," 3 400 [2 400- 4 500]","3400","2400","4500",""
"HIV_0000000006","PUBLISHED","2006","EUR","LVA","<500 [<500-<500]","","","",""
"HIV_0000000006","PUBLISHED","2006","EMR","MAR","<1000 [<1000- 1 400]","","","1400",""
"HIV_0000000006","PUBLISHED","2006","EUR","MDA"," 1 100 [<1000- 1 400]","1100","","1400",""
"HIV_0000000006","PUBLISHED","2006","AFR","MDG"," 2 200 [1 500- 5 000]","2200","1500","5000",""
"HIV_0000000006","PUBLISHED","2006","SEAR","MMR","17 000 [14 000-20 000]","17000","14000","20000",""
"HIV_0000000006","PUBLISHED","2006","WPR","MNG","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","AFR","MOZ","79 000 [69 000-92 000]","79000","69000","92000",""
"HIV_0000000006","PUBLISHED","2006","AFR","MRT"," 1 100 [<1000- 1 900]","1100","","1900",""
"HIV_0000000006","PUBLISHED","2006","AFR","NGA","220 000 [180 000-250 000]","220000","180000","250000",""
"HIV_0000000006","PUBLISHED","2006","AMR","NIC","<500 [<100-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","NLD","<200 [<200-<200]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","NOR","<100 [<100-<100]","","","",""
"HIV_0000000006","PUBLISHED","2006","AMR","PAN"," 1 900 [1 000- 3 600]","1900","1000","3600",""
"HIV_0000000006","PUBLISHED","2006","AMR","PER"," 6 300 [4 300- 9 100]","6300","4300","9100",""
"HIV_0000000006","PUBLISHED","2006","WPR","PHL","<500 [<200-<500]","","","",""
"HIV_0000000006","PUBLISHED","2006","WPR","PNG"," 2 100 [1 500- 2 900]","2100","1500","2900",""
"HIV_0000000006","PUBLISHED","2006","EUR","ROU","<500 [<200-<1000]","","","",""
"HIV_0000000006","PUBLISHED","2006","EUR","RUS","? [40 000-67 000]","0","40000","67000",""
"HIV_0000000006","PUBLISHED","2006","AFR","RWA","16 000 [13 000-19 000]","16000","13000","19000",""
"HIV_0000000006","PUBLISHED","2006","EMR","SDN"," 6 200 [4 800- 8 000]","6200","4800","8000",""
"HIV_0000000006","PUBLISHED","2006","AFR","SEN"," 1 600 [1 100- 2 300]","1600","1100","2300",""
"HIV_0000000006","PUBLISHED","2006","EUR","SRB","<200 [<100-<500]","","","",""
"HIV_0000000006","PUBLISHED","2006","EMR","SSD","?","0","","",""
