REGENTS OF THE UNIVERSITY OF IDAHO,13745.00,NSF
UNIVERSITY OF FLORIDA,247922.00,NASA
MISSISSIPPI STATE UNIVERSITY,200778.00,NASA
ARIZONA STATE UNIVERSITY,105000.00,NASA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",19849.00,NASA
WAYNE STATE UNIVERSITY (INC),37000.00,NASA
REGENTS OF THE UNIVERSITY OF MINNESOTA,27900.00,NASA
"PENNSYLVANIA STATE UNIVERSITY, THE",28000.00,NASA
"TRIBO FLOW SEPARATIONS, LLC",150000.00,NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",23357.00,NSF
"CORNELL UNIVERSITY, INC",22278.00,NSF
SILEXTA INC.,150000.00,NSF
TRUSTEES OF THE COLORADO SCHOOL OF MINES,125880.19,NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,15609.00,NSF
"BILLOW, INC.",150000.00,NSF
"PRODUCT INNOVATION AND ENGINEERING, LLC",150000.00,NSF
ASTRILEUX CORPORATION,150000.00,NSF
"TRIAD DIGITAL MEDIA, INC",150000.00,NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",476146.00,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,400000.00,NSF
GEORGE MASON UNIVERSITY,150000.00,NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",397838.00,NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,408000.00,NSF
UNIVERSITY OF CONNECTICUT,103029.00,NSF
SOUTHWEST RESEARCH INSTITUTE,67696.00,NASA
"JOHNS HOPKINS UNIVERSITY, THE",122399.00,NASA
UNIVERSITY OF NEBRASKA,34930.00,NASA
UNIVERSITY OF ALASKA FAIRBANKS,81398.00,NASA
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",189683.00,NASA
MICHIGAN TECHNOLOGICAL UNIVERSITY,228117.00,NASA
"CORNELL UNIVERSITY, INC",197095.00,NASA
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",148868.00,NASA
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",156036.00,NASA
UNIVERSITY OF MASSACHUSETTS,298029.00,NSF
NORTHEASTERN UNIVERSITY,77747.00,NSF
UNIVERSITY OF WASHINGTON,29778.00,NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,400000.00,NSF
UNIVERSITY OF DELAWARE,700000.00,NSF
UNIVERSITY OF PUERTO RICO,1960000.00,NSF
UNIVERSITY OF WISCONSIN SYSTEM,11768.00,NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",49796.00,NSF
"BARROSTAT MEDICAL, INC.",149681.00,NSF
"PENNSYLVANIA STATE UNIVERSITY, THE",400000.00,NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE",242733.00,NSF
C-MOTIVE TECHNOLOGIES INC.,150000.00,NSF
UNIVERSITY OF WISCONSIN SYSTEM,15000.00,NSF
MICHIGAN STATE UNIVERSITY,19250.00,NSF
UNIVERSITY OF MARYLAND,400000.00,NSF
OREGON STATE UNIVERSITY,95546.36,NSF
"CORNELL UNIVERSITY, INC",572235.00,NSF
UNIVERSITY OF TEXAS AT ARLINGTON,25415.00,NSF
UNIVERSITY OF ALASKA FAIRBANKS,100191.00,NSF
UNIVERSITY OF ARIZONA,285348.00,NSF
YALE UNIVERSITY,1655953.00,NSF
ONCUE AUTOMATION,149349.00,NSF
AMERICAN SOCIOLOGICAL ASSN.,63250.00,NSF
"AIR SQUARED, INC.",149820.00,NSF
NORTH CAROLINA STATE UNIVERSITY,400000.00,NSF
UNIVERSITY OF NEBRASKA,400000.00,NSF
SYRACUSE UNIVERSITY,622123.00,NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,13205.00,NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,400000.00,NSF
UNIVERSITY OF FLORIDA,102835.00,NASA
UNIVERSITY OF MARYLAND,36137.00,NASA
UNIVERSITY OF WISCONSIN SYSTEM,204632.00,NASA
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",400000.00,NSF
NORTHEASTERN UNIVERSITY,290615.40,NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY,100112.00,NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN,119357.00,NASA
SAN DIEGO STATE UNIVERSTIY FOUNDATION,48080.00,NASA
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",115600.00,NASA
"MONTANA STATE UNIVERSITY, INC",121917.00,NASA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",129997.00,NSF
UNIVERSITY OF HAWAII SYSTEMS,71170.00,NSF
UNIVERSITY OF WASHINGTON,223950.95,NSF
DREXEL UNIVERSITY,400000.00,NSF
WILLIAM MARSH RICE UNIVERSITY,49595.00,NSF
"CORNELL UNIVERSITY, INC",10419.00,NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION,1545515.00,NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,224892.00,NSF
WASHINGTON STATE UNIVERSITY,52435.00,NSF
NORTH CAROLINA STATE UNIVERSITY,149618.00,NSF
"CORNELL UNIVERSITY, INC",39895.00,NSF
UNIVERSITY OF WASHINGTON,64892.02,NSF
NORTH CAROLINA STATE UNIVERSITY,5000.00,NSF
UNIVERSITY OF WASHINGTON,23190.00,NSF
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",118151.00,NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE",25169.00,NSF
SOUTHERN ILLINOIS UNIVERSITY,13850.00,NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF",564555.00,NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,29999.00,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,346945.00,NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",15167.00,NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",400000.00,NSF
UNIVERSITY OF NOTRE DAME DU LAC,23940.00,NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",21176.00,NSF
"UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.",24601.00,NSF
"CORNELL UNIVERSITY, INC",250000.00,NSF
UNIVERSITY OF RHODE ISLAND,25000.00,NSF
UNIVERSITY OF MONTANA SYSTEM,199873.00,NASA
TRUSTEES OF TUFTS COLLEGE INC,150000.00,NASA
NORTHWESTERN UNIVERSITY,41626.00,NASA
"JOHNS HOPKINS UNIVERSITY, THE",111515.00,NASA
"UNIVERSITY OF CALIFORNIA, IRVINE",49893.00,NASA
ARIZONA STATE UNIVERSITY,107734.00,NASA
UNIVERSITY OF NOTRE DAME DU LAC,46482.00,NASA
